host_SM,host_Z
131026000000.0,-0.0700548
20962300.0,-1.5652626
16621500.0,-2.3489048
41925300.0,-1.5245864
21390.5,-5.5497365
6818410.0,-2.1666274
27942400.0,-1.5544744
2090460.0,-2.1582348
2647930.0,-2.9201725
4564680.0,-2.123808
253526.0,-6.5884175
911708.0,-3.1169167
3902910.0,-2.7056673
86368.9,-10.360372
821044.0,-2.7769885
354222.0,-5.5037756
670315.0,-3.0850248
23304.0,-42.146545
723393.0,-3.0252814
293215.0,-3.2748516
2258370.0,-2.342811
59376.9,-4.464845
225778.0,-3.9563255
616665.0,-5.340226
108099.0,-5.0923676
16648.4,-4.6043043
2197810.0,-2.6873364
56637.7,-7.8694024
244517.0,-5.91499
117933.0,-5.0366817
2463270.0,-3.058302
276577.0,-4.3255315
76633.2,-10.910788
