sat_SM,sat_Z
1537420000.0,-1.3005852
1018930000.0,-1.6520846
292588000.0,-1.6561042
224699000.0,-1.8798109
159888000.0,-1.8590431
91704700.0,-1.9332366
70728400.0,-2.247533
8412860.0,-2.6181235
2780090.0,-2.8602495
68041200.0,-1.9772186
57037100.0,-2.0359876
2148880.0,-3.174769
2512000.0,-3.2599733
19979.8,-64.99869
9311210.0,-2.6635523
86261.7,-4.519388
6657.05,-76.29322
13320.4,-56.278553
1912930.0,-3.0509765
20337500.0,-2.5442336
9985.57,-119.89856
21390.5,-5.5497365
886568.0,-3.4735734
119941.0,-9.076433
90196.0,-4.9859724
146587.0,-8.423588
499933.0,-4.125295
1459890.0,-3.1638803
1398480.0,-2.868753
2699850.0,-3.3587856
9985.59,-39.32538
736467.0,-6.2387757
33295.8,-15.928113
33313.6,-19.856094
163285.0,-6.648646
16650.2,-33.53767
81128.2,-269.87936
3501590.0,-2.3441122
3328.53,-202.79384
19992.7,-38.779232
313204.0,-3.721339
3328.52,-241.26318
66639.5,-10.648084
293257.0,-5.432717
176646.0,-7.079139
9987.17,-4.5530562
266668.0,-2.8117678
