stellarmass,metals
292588000,0.002608667
224699000,0.002241364
20962300,0.004484758
159888000,0.002337122
16621500,0.001045169
91704700,0.001557212
70728400,0.001404033
41925300,0.003291188
8412860,0.000858527
21390.5,4.88E-05
2780090,0.000545994
6818410,0.001153802
27942400,0.003109314
2090460,0.00129594
2647930,0.0005103
68041200,0.00148283
4564680,0.001395772
57037100,0.001435137
253526,0.000310629
2148880,0.000517023
911708,0.000503102
2512000,0.000495973
3902910,0.000555044
86368.9,0.000178779
19979.8,6.05E-05
821044,0.00054339
354222,0.000444963
9311210,0.000696496
86261.7,0.000149721
6657.05,2.73E-06
670315,0.000542871
23304,0.000120389
723393,0.000368566
293215,0.000323455
13320.4,0.000124511
1912930,0.000343105
2258370,0.001164885
59376.9,0.000199281
20337500,0.000792953
9985.57,1.04E-05
225778,0.000123694
616665,0.000302511
108099,0.000249748
16648.4,4.10E-05
2197810,0.001098986
56637.7,0.000129907
21390.5,4.88E-05
886568,0.000301738
244517,0.000235078
119941,0.000156909
90196,0.000250034
117933,0.000177629
2463270,0.000429453
146587,0.000114579
499933,0.000235067
1459890,0.000404531
1398480,0.000427059
2699850,0.000439058
9985.59,1.43E-05
736467,0.000267241
33295.8,6.75E-05
33313.6,0.000293031
163285,0.000266328
16650.2,7.61E-05
81128.2,7.42E-07
276577,0.000176227
3501590,0.001014025
76633.2,0.00024512
3328.53,0
19992.7,0.00031419
313204,0.000242456
3328.52,0
66639.5,0.000103588
293257,0.000195954
176646,0.000259956
9987.17,5.72E-05
266668,0.000359441
